sample	region	M1	MU1
MEDAL-115_TIS_Tumor	1:180203234-180203280	75	277
MEDAL-115_TIS_Tumor	1:180205248-180205363	201	2177
MEDAL-115_TIS_Tumor	1:181455206-181455341	797	5827
MEDAL-115_TIS_Tumor	1:183386719-183386901	340	4428
MEDAL-115_TIS_Tumor	1:190447227-190447457	935	4102
MEDAL-115_TIS_Tumor	1:193155778-193155812	37	692
MEDAL-115_TIS_Tumor	1:197879841-197879929	185	730
MEDAL-115_TIS_Tumor	1:200009908-200009994	623	3010
MEDAL-115_TIS_Tumor	1:202937086-202937120	136	536
MEDAL-115_TIS_Tumor	1:216897193-216897299	445	1704
MEDAL-115_TIS_Tumor	1:220700728-220701065	1411	12997
MEDAL-115_TIS_Tumor	1:221052385-221052542	128	4149
MEDAL-115_TIS_Tumor	1:226737179-226737417	260	10736
MEDAL-115_TIS_Tumor	1:228651540-228651790	632	6172
MEDAL-115_TIS_Tumor	1:229543439-229543722	554	8352
MEDAL-115_TIS_Tumor	1:234040600-234040787	357	12391
MEDAL-115_TIS_Tumor	1:235814140-235814303	305	988
MEDAL-115_TIS_Tumor	1:237205122-237205335	152	7737
MEDAL-115_TIS_Tumor	1:240254871-240255126	566	4506
MEDAL-115_TIS_Tumor	10:1778887-1779016	139	2191
MEDAL-115_TIS_Tumor	10:7454527-7454736	245	9451
MEDAL-115_TIS_Tumor	10:8079365-8079481	271	3838
MEDAL-115_TIS_Tumor	10:8096623-8096679	285	2121
MEDAL-115_TIS_Tumor	10:14215653-14215938	101	5944
MEDAL-115_TIS_Tumor	10:20104214-20104503	16	1978
MEDAL-115_TIS_Tumor	10:22624345-22624549	1952	17989
MEDAL-115_TIS_Tumor	10:22634373-22634537	1065	12779
MEDAL-115_TIS_Tumor	10:23463010-23463136	1500	10268
MEDAL-115_TIS_Tumor	10:23984675-23984778	340	4135
MEDAL-115_TIS_Tumor	10:25464086-25464265	49	1181
MEDAL-115_TIS_Tumor	10:25465258-25465486	672	10659
MEDAL-115_TIS_Tumor	10:26505329-26505390	21	1228
MEDAL-115_TIS_Tumor	10:31609955-31610099	23	2094
MEDAL-115_TIS_Tumor	10:43428380-43428643	1870	17663
MEDAL-115_TIS_Tumor	10:50821151-50821222	42	1115
MEDAL-115_TIS_Tumor	10:57387598-57387788	1287	8224
MEDAL-115_TIS_Tumor	10:57389850-57389937	182	1104
MEDAL-115_TIS_Tumor	10:70320126-70320201	19	1406
MEDAL-115_TIS_Tumor	10:94827946-94828070	295	2356
MEDAL-115_TIS_Tumor	10:99531623-99532021	732	18888
MEDAL-115_TIS_Tumor	10:101283325-101283492	365	4666
MEDAL-115_TIS_Tumor	10:101287805-101288002	1571	3953
MEDAL-115_TIS_Tumor	10:101293027-101293243	528	7353
MEDAL-115_TIS_Tumor	10:101294590-101294817	429	8788
MEDAL-115_TIS_Tumor	10:102473436-102473541	76	737
MEDAL-115_TIS_Tumor	10:102495329-102495524	438	7601
MEDAL-115_TIS_Tumor	10:102504262-102504447	650	10693
MEDAL-115_TIS_Tumor	10:102893808-102894033	855	8220
MEDAL-115_TIS_Tumor	10:102900043-102900194	965	6214
MEDAL-115_TIS_Tumor	10:102984494-102984619	1934	5331
MEDAL-115_TIS_Tumor	10:102986951-102987144	1829	6772
MEDAL-115_TIS_Tumor	10:103043920-103044181	408	3383
MEDAL-115_TIS_Tumor	10:106399563-106399688	162	3108
MEDAL-115_TIS_Tumor	10:108924361-108924538	212	3623
MEDAL-115_TIS_Tumor	10:109674802-109674992	352	7756
MEDAL-115_TIS_Tumor	10:112403367-112403621	114	5070
MEDAL-115_TIS_Tumor	10:118030965-118031125	932	9277
MEDAL-115_TIS_Tumor	10:118032156-118032344	249	10435
MEDAL-115_TIS_Tumor	10:118032754-118033143	1483	19626
MEDAL-115_TIS_Tumor	10:118892256-118892464	687	2946
MEDAL-115_TIS_Tumor	10:119297639-119297653	118	306
MEDAL-115_TIS_Tumor	10:119302068-119302228	335	2953
MEDAL-115_TIS_Tumor	10:119304578-119304742	715	4242
MEDAL-115_TIS_Tumor	10:130339580-130339782	527	5358
MEDAL-115_TIS_Tumor	10:131768890-131769021	876	8206
MEDAL-115_TIS_Tumor	10:134598872-134599101	1093	8109
MEDAL-115_TIS_Tumor	10:134600116-134600264	310	4436
MEDAL-115_TIS_Tumor	10:134901289-134901471	418	8707
MEDAL-115_TIS_Tumor	11:2187689-2187791	324	3985
MEDAL-115_TIS_Tumor	11:2291995-2292167	420	5332
MEDAL-115_TIS_Tumor	11:6948096-6948309	53	5021
MEDAL-115_TIS_Tumor	11:7273528-7273587	237	4428
MEDAL-115_TIS_Tumor	11:8290237-8290415	108	2782
MEDAL-115_TIS_Tumor	11:12031006-12031154	789	6722
MEDAL-115_TIS_Tumor	11:14995105-14995298	416	10440
MEDAL-115_TIS_Tumor	11:19263803-19264038	248	12221
MEDAL-115_TIS_Tumor	11:20182979-20183163	435	3511
MEDAL-115_TIS_Tumor	11:20618863-20618969	422	6143
MEDAL-115_TIS_Tumor	11:20691922-20692028	25	1137
MEDAL-115_TIS_Tumor	11:27743447-27743561	89	1368
MEDAL-115_TIS_Tumor	11:31821214-31821421	806	4190
MEDAL-115_TIS_Tumor	11:31826267-31826497	1534	7251
MEDAL-115_TIS_Tumor	11:31837305-31837548	2409	7725
MEDAL-115_TIS_Tumor	11:31839359-31839469	1315	6216
MEDAL-115_TIS_Tumor	11:32454835-32454993	1784	6327
MEDAL-115_TIS_Tumor	11:32457591-32457706	66	2508
MEDAL-115_TIS_Tumor	11:44325653-44325966	1537	13982
MEDAL-115_TIS_Tumor	11:44326419-44326522	1965	7162
MEDAL-115_TIS_Tumor	11:44331357-44331536	1268	11914
MEDAL-115_TIS_Tumor	11:44332032-44332230	255	2653
MEDAL-115_TIS_Tumor	11:45377317-45377337	217	1444
MEDAL-115_TIS_Tumor	11:58673522-58673621	164	1886
MEDAL-115_TIS_Tumor	11:66326595-66326689	1040	1891
MEDAL-115_TIS_Tumor	11:74442626-74442719	119	4414
MEDAL-115_TIS_Tumor	11:75379876-75380040	573	5523
MEDAL-115_TIS_Tumor	11:91958731-91958973	1238	9801
MEDAL-115_TIS_Tumor	11:101454621-101454836	103	3358
MEDAL-115_TIS_Tumor	11:105481241-105481427	672	17828
MEDAL-115_TIS_Tumor	11:110584029-110584227	43	2485
MEDAL-115_TIS_Tumor	11:111411123-111411551	522	22280
MEDAL-115_TIS_Tumor	11:112832475-112832655	106	2825
MEDAL-115_TIS_Tumor	11:113346274-113346434	554	4265
MEDAL-115_TIS_Tumor	11:115630594-115630800	400	10136
MEDAL-115_TIS_Tumor	11:116451144-116451315	1136	11567
MEDAL-115_TIS_Tumor	11:119293241-119293506	442	12649
MEDAL-115_TIS_Tumor	11:122848358-122848417	116	1275
MEDAL-115_TIS_Tumor	11:122855404-122855587	55	5389
MEDAL-115_TIS_Tumor	11:123229121-123229348	42	7531
MEDAL-115_TIS_Tumor	11:124735014-124735274	262	6840
MEDAL-115_TIS_Tumor	11:128563898-128564354	160	17698
MEDAL-115_TIS_Tumor	11:131780324-131780526	1364	14486
MEDAL-115_TIS_Tumor	11:132813444-132813532	17	213
MEDAL-115_TIS_Tumor	12:3602113-3602206	83	714
MEDAL-115_TIS_Tumor	12:5018171-5018310	58	1577
MEDAL-115_TIS_Tumor	12:5019332-5019407	246	1944
MEDAL-115_TIS_Tumor	12:8171305-8171473	134	6656
MEDAL-115_TIS_Tumor	12:8548805-8548929	69	1536
MEDAL-115_TIS_Tumor	12:15475226-15475496	325	9856
MEDAL-115_TIS_Tumor	12:21680661-21680843	41	7496
MEDAL-115_TIS_Tumor	12:22093900-22094387	406	11543
MEDAL-115_TIS_Tumor	12:29301673-29301825	191	1173
MEDAL-115_TIS_Tumor	12:33592248-33592326	1124	7346
MEDAL-115_TIS_Tumor	12:39299698-39299808	19	1772
MEDAL-115_TIS_Tumor	12:43944761-43944984	3190	16226
MEDAL-115_TIS_Tumor	12:45444720-45444989	195	8848
MEDAL-115_TIS_Tumor	12:54321591-54321667	406	6480
MEDAL-115_TIS_Tumor	12:54345051-54345302	917	15969
MEDAL-115_TIS_Tumor	12:54393961-54394196	7118	40940
MEDAL-115_TIS_Tumor	12:54520162-54520278	117	1826
MEDAL-115_TIS_Tumor	12:58025836-58025908	300	1923
MEDAL-115_TIS_Tumor	12:62584847-62584909	271	1517
MEDAL-115_TIS_Tumor	12:62585969-62586172	368	6577
MEDAL-115_TIS_Tumor	12:66122956-66123133	2583	7037
MEDAL-115_TIS_Tumor	12:72665277-72665548	672	11942
MEDAL-115_TIS_Tumor	12:72666309-72666444	683	5648
MEDAL-115_TIS_Tumor	12:85673195-85673431	1538	5382
MEDAL-115_TIS_Tumor	12:85674404-85674464	66	814
MEDAL-115_TIS_Tumor	12:99139566-99139917	2026	14462
MEDAL-115_TIS_Tumor	12:103352279-103352474	1846	37203
MEDAL-115_TIS_Tumor	12:104697121-104697699	8140	27059
MEDAL-115_TIS_Tumor	12:106979810-106980047	683	11788
MEDAL-115_TIS_Tumor	12:111471057-111471331	1247	18202
MEDAL-115_TIS_Tumor	12:113901274-113901383	679	3999
MEDAL-115_TIS_Tumor	12:113913831-113913926	394	4514
MEDAL-115_TIS_Tumor	12:114846990-114847094	288	2672
MEDAL-115_TIS_Tumor	12:115120944-115121022	68	543
MEDAL-115_TIS_Tumor	12:115135854-115136107	266	1818
MEDAL-115_TIS_Tumor	12:120032356-120032488	546	11709
MEDAL-115_TIS_Tumor	12:125347653-125347858	1188	11210
MEDAL-115_TIS_Tumor	12:126018131-126018348	273	9465
MEDAL-115_TIS_Tumor	12:128751870-128752145	974	17285
MEDAL-115_TIS_Tumor	12:130388836-130389058	1559	8368
MEDAL-115_TIS_Tumor	12:130823619-130823681	1123	2425
MEDAL-115_TIS_Tumor	13:20767645-20767853	156	3344
MEDAL-115_TIS_Tumor	13:23734174-23734477	472	7868
MEDAL-115_TIS_Tumor	13:25620910-25621175	279	12816
MEDAL-115_TIS_Tumor	13:26625354-26625563	159	5434
MEDAL-115_TIS_Tumor	13:28366493-28366671	555	8315
MEDAL-115_TIS_Tumor	13:28371228-28371394	66	3159
MEDAL-115_TIS_Tumor	13:28395557-28395649	38	511
MEDAL-115_TIS_Tumor	13:28491484-28491667	1047	6191
MEDAL-115_TIS_Tumor	13:28501196-28501304	9	333
MEDAL-115_TIS_Tumor	13:38443599-38443802	182	2948
MEDAL-115_TIS_Tumor	13:49549379-49549577	24	3622
MEDAL-115_TIS_Tumor	13:53422624-53422765	665	4383
MEDAL-115_TIS_Tumor	13:75149915-75150218	56	5347
MEDAL-115_TIS_Tumor	13:79160874-79161034	338	1952
MEDAL-115_TIS_Tumor	13:79176397-79176519	684	3044
MEDAL-115_TIS_Tumor	13:79179543-79179679	138	1875
MEDAL-115_TIS_Tumor	13:88324427-88324664	118	4718
MEDAL-115_TIS_Tumor	13:88325209-88325336	82	745
MEDAL-115_TIS_Tumor	13:93878897-93879048	66	1936
MEDAL-115_TIS_Tumor	13:93880667-93881018	254	8855
MEDAL-115_TIS_Tumor	13:95355342-95355527	4	285
MEDAL-115_TIS_Tumor	13:95620807-95621100	614	8427
MEDAL-115_TIS_Tumor	13:100624004-100624170	412	5254
MEDAL-115_TIS_Tumor	13:100636107-100636282	272	1326
MEDAL-115_TIS_Tumor	13:100641936-100642144	363	3841
MEDAL-115_TIS_Tumor	13:100643178-100643276	396	1453
MEDAL-115_TIS_Tumor	13:103054572-103054993	105	4051
MEDAL-115_TIS_Tumor	13:108520940-108521068	1095	6537
MEDAL-115_TIS_Tumor	13:110960172-110960351	481	6924
MEDAL-115_TIS_Tumor	13:112710732-112710929	130	1818
MEDAL-115_TIS_Tumor	13:112711906-112712113	406	2384
MEDAL-115_TIS_Tumor	13:112720190-112720269	1159	3506
MEDAL-115_TIS_Tumor	13:112758212-112758520	1014	8198
MEDAL-115_TIS_Tumor	13:112759546-112759905	1457	8529
MEDAL-115_TIS_Tumor	14:24803891-24804098	2038	12835
MEDAL-115_TIS_Tumor	14:26674253-26674534	173	4517
MEDAL-115_TIS_Tumor	14:29243666-29243791	881	4277
MEDAL-115_TIS_Tumor	14:31344589-31344710	222	2024
MEDAL-115_TIS_Tumor	14:36004191-36004237	317	1390
MEDAL-115_TIS_Tumor	14:36983373-36983526	182	4818
MEDAL-115_TIS_Tumor	14:36993913-36993981	136	895
MEDAL-115_TIS_Tumor	14:37132676-37132790	2305	6900
MEDAL-115_TIS_Tumor	14:42077015-42077209	33	952
MEDAL-115_TIS_Tumor	14:52535864-52536132	290	10096
MEDAL-115_TIS_Tumor	14:52735416-52735574	514	6394
MEDAL-115_TIS_Tumor	14:57261288-57261430	902	2755
MEDAL-115_TIS_Tumor	14:57265286-57265422	518	3236
MEDAL-115_TIS_Tumor	14:57270968-57271173	527	5350
MEDAL-115_TIS_Tumor	14:57274876-57275067	507	1872
MEDAL-115_TIS_Tumor	14:57279100-57279298	139	851
MEDAL-115_TIS_Tumor	14:57283937-57284651	4361	30478
MEDAL-115_TIS_Tumor	14:60097097-60097134	131	1086
MEDAL-115_TIS_Tumor	14:60386233-60386423	267	13071
MEDAL-115_TIS_Tumor	14:61104474-61104669	2484	8843
MEDAL-115_TIS_Tumor	14:62583790-62583928	920	4472
MEDAL-115_TIS_Tumor	14:65637641-65637681	76	279
MEDAL-115_TIS_Tumor	14:69726095-69726123	137	271
MEDAL-115_TIS_Tumor	14:70655209-70655329	61	2335
MEDAL-115_TIS_Tumor	14:70655941-70656122	594	6586
MEDAL-115_TIS_Tumor	14:74707204-74707349	733	2521
MEDAL-115_TIS_Tumor	14:77227480-77227716	434	4019
MEDAL-115_TIS_Tumor	14:77737157-77737309	332	9623
MEDAL-115_TIS_Tumor	14:85999720-85999856	302	9185
MEDAL-115_TIS_Tumor	14:90527909-90528362	560	16982
MEDAL-115_TIS_Tumor	14:92789546-92789673	161	1777
MEDAL-115_TIS_Tumor	14:94254642-94254774	479	11716
MEDAL-115_TIS_Tumor	14:97059018-97059249	301	14685
MEDAL-115_TIS_Tumor	14:103739858-103740142	769	10997
MEDAL-115_TIS_Tumor	14:104603072-104603244	863	5310
MEDAL-115_TIS_Tumor	14:105993436-105993524	139	1656
MEDAL-115_TIS_Tumor	15:29864075-29864175	282	1915
MEDAL-115_TIS_Tumor	15:33011000-33011193	448	25558
MEDAL-115_TIS_Tumor	15:48483902-48483999	127	1446
MEDAL-115_TIS_Tumor	15:60296856-60296983	839	5103
MEDAL-115_TIS_Tumor	15:63891778-63891865	148	1103
MEDAL-115_TIS_Tumor	15:68121069-68121196	335	2018
MEDAL-115_TIS_Tumor	15:68122173-68122293	1217	5134
MEDAL-115_TIS_Tumor	15:73661813-73661902	71	1606
MEDAL-115_TIS_Tumor	15:74428397-74428539	93	6078
MEDAL-115_TIS_Tumor	15:74988643-74988973	94	5800
MEDAL-115_TIS_Tumor	15:76629946-76630036	854	1927
MEDAL-115_TIS_Tumor	15:79724640-79724760	265	8780
MEDAL-115_TIS_Tumor	15:84116750-84117024	1195	10528
MEDAL-115_TIS_Tumor	15:88801061-88801151	71	2102
MEDAL-115_TIS_Tumor	15:89914419-89914639	747	10500
MEDAL-115_TIS_Tumor	15:89921025-89921331	646	9865
MEDAL-115_TIS_Tumor	15:89951745-89951938	401	3864
MEDAL-115_TIS_Tumor	15:99091351-99091559	822	10323
MEDAL-115_TIS_Tumor	16:2041057-2041180	671	2982
MEDAL-115_TIS_Tumor	16:3239283-3239497	1277	9225
MEDAL-115_TIS_Tumor	16:6068910-6069140	636	12025
MEDAL-115_TIS_Tumor	16:10276405-10276517	277	2983
MEDAL-115_TIS_Tumor	16:12996173-12996425	205	9297
MEDAL-115_TIS_Tumor	16:15951024-15951329	81	8231
MEDAL-115_TIS_Tumor	16:19895160-19895361	546	4249
MEDAL-115_TIS_Tumor	16:22824707-22824883	497	8547
MEDAL-115_TIS_Tumor	16:22825948-22826123	1469	14965
MEDAL-115_TIS_Tumor	16:28074246-28074844	1816	43231
MEDAL-115_TIS_Tumor	16:49315415-49315708	3363	15657
MEDAL-115_TIS_Tumor	16:51190080-51190221	412	7862
MEDAL-115_TIS_Tumor	16:55358672-55358805	310	2817
MEDAL-115_TIS_Tumor	16:58529419-58529430	88	185
MEDAL-115_TIS_Tumor	16:62069230-62069282	71	2439
MEDAL-115_TIS_Tumor	16:66612784-66612979	3235	8630
MEDAL-115_TIS_Tumor	16:79623585-79623886	2495	13262
MEDAL-115_TIS_Tumor	16:86541721-86541926	540	7076
MEDAL-115_TIS_Tumor	16:86600374-86600501	19	864
MEDAL-115_TIS_Tumor	17:6734968-6735229	82	5302
MEDAL-115_TIS_Tumor	17:12569383-12569493	65	1718
MEDAL-115_TIS_Tumor	17:21280367-21280746	449	12114
MEDAL-115_TIS_Tumor	17:32907869-32908092	321	7619
MEDAL-115_TIS_Tumor	17:35165299-35165568	1029	15840
MEDAL-115_TIS_Tumor	17:35292221-35292313	1157	3922
MEDAL-115_TIS_Tumor	17:35294055-35294330	3229	15404
MEDAL-115_TIS_Tumor	17:35294574-35294697	1482	6183
MEDAL-115_TIS_Tumor	17:37764088-37764186	664	2985
MEDAL-115_TIS_Tumor	17:43974761-43974959	981	8568
MEDAL-115_TIS_Tumor	17:46655159-46655989	4369	23030
MEDAL-115_TIS_Tumor	17:46724127-46724209	397	5201
MEDAL-115_TIS_Tumor	17:46796741-46796986	2062	7705
MEDAL-115_TIS_Tumor	17:46801164-46801250	49	917
MEDAL-115_TIS_Tumor	17:47075336-47075456	287	2216
MEDAL-115_TIS_Tumor	17:48284289-48284546	3496	7842
MEDAL-115_TIS_Tumor	17:62038934-62039175	1018	9485
MEDAL-115_TIS_Tumor	17:70114148-70114295	175	5052
MEDAL-115_TIS_Tumor	17:71161791-71162030	738	6674
MEDAL-115_TIS_Tumor	17:72755631-72755654	622	926
MEDAL-115_TIS_Tumor	17:77179747-77179876	66	5012
MEDAL-115_TIS_Tumor	17:78451594-78451730	117	2825
MEDAL-115_TIS_Tumor	17:80329799-80329985	714	6359
MEDAL-115_TIS_Tumor	18:909238-909326	168	2338
MEDAL-115_TIS_Tumor	18:2847758-2847855	25	508
MEDAL-115_TIS_Tumor	18:5544164-5544246	115	3853
MEDAL-115_TIS_Tumor	18:7117155-7117484	248	6944
MEDAL-115_TIS_Tumor	18:25755769-25755885	205	2098
MEDAL-115_TIS_Tumor	18:28621485-28621702	1798	7328
MEDAL-115_TIS_Tumor	18:28622303-28622336	410	842
MEDAL-115_TIS_Tumor	18:31020335-31020346	1	201
MEDAL-115_TIS_Tumor	18:31803294-31803464	431	4071
MEDAL-115_TIS_Tumor	18:53255935-53256009	46	153
MEDAL-115_TIS_Tumor	18:55106381-55106460	38	509
MEDAL-115_TIS_Tumor	18:57364765-57365033	141	7117
MEDAL-115_TIS_Tumor	18:70210903-70210992	369	14419
MEDAL-115_TIS_Tumor	18:73167719-73167952	586	15256
MEDAL-115_TIS_Tumor	18:74961337-74961508	65	2266
MEDAL-115_TIS_Tumor	18:74962194-74962292	95	2604
MEDAL-115_TIS_Tumor	19:3786265-3786416	231	2509
MEDAL-115_TIS_Tumor	19:3801917-3802021	106	1046
MEDAL-115_TIS_Tumor	19:3881162-3881312	619	4487
MEDAL-115_TIS_Tumor	19:4369683-4369746	777	3190
MEDAL-115_TIS_Tumor	19:7735254-7735546	132	5467
MEDAL-115_TIS_Tumor	19:10402861-10402917	71	1097
MEDAL-115_TIS_Tumor	19:10406789-10407100	1968	8343
MEDAL-115_TIS_Tumor	19:15090700-15090951	508	10556
MEDAL-115_TIS_Tumor	19:18901329-18901452	1194	10305
MEDAL-115_TIS_Tumor	19:20277914-20278065	609	6861
MEDAL-115_TIS_Tumor	19:22610593-22610680	570	2814
MEDAL-115_TIS_Tumor	19:30015916-30015992	33	718
MEDAL-115_TIS_Tumor	19:30716214-30716684	457	14606
MEDAL-115_TIS_Tumor	19:31839557-31839815	2507	13012
MEDAL-115_TIS_Tumor	19:35395934-35396140	1051	15292
MEDAL-115_TIS_Tumor	19:37095953-37096178	1826	6603
MEDAL-115_TIS_Tumor	19:38183075-38183466	3493	39952
MEDAL-115_TIS_Tumor	19:40006250-40006353	97	4614
MEDAL-115_TIS_Tumor	19:44324934-44325060	950	7013
MEDAL-115_TIS_Tumor	19:44905877-44905949	14	2139
MEDAL-115_TIS_Tumor	19:50833660-50833908	976	4662
MEDAL-115_TIS_Tumor	19:54024472-54024565	146	2887
MEDAL-115_TIS_Tumor	19:54485345-54485900	5693	45750
MEDAL-115_TIS_Tumor	19:55866407-55866577	168	1485
MEDAL-115_TIS_Tumor	19:56879427-56879815	3456	31778
MEDAL-115_TIS_Tumor	19:56905147-56905195	185	1551
MEDAL-115_TIS_Tumor	19:57049852-57049948	46	3293
MEDAL-115_TIS_Tumor	19:58126120-58126227	534	2453
MEDAL-115_TIS_Tumor	19:58661661-58661892	2163	15953
MEDAL-115_TIS_Tumor	19:58951282-58951356	268	3344
MEDAL-115_TIS_Tumor	2:5833245-5833325	402	4022
MEDAL-115_TIS_Tumor	2:14773825-14774097	1437	11501
MEDAL-115_TIS_Tumor	2:27070298-27070406	171	3899
MEDAL-115_TIS_Tumor	2:27530195-27530375	818	4090
MEDAL-115_TIS_Tumor	2:39187372-39187533	898	11943
MEDAL-115_TIS_Tumor	2:40679527-40679669	2918	14500
MEDAL-115_TIS_Tumor	2:42274520-42274668	245	5984
MEDAL-115_TIS_Tumor	2:45029917-45030078	358	3327
MEDAL-115_TIS_Tumor	2:45156017-45156162	1140	7457
MEDAL-115_TIS_Tumor	2:45228622-45228788	122	7740
MEDAL-115_TIS_Tumor	2:45240406-45240732	3895	16515
MEDAL-115_TIS_Tumor	2:63279054-63279166	5935	8508
MEDAL-115_TIS_Tumor	2:63285943-63286082	2090	9847
MEDAL-115_TIS_Tumor	2:68546335-68546524	169	9255
MEDAL-115_TIS_Tumor	2:73147307-73147444	897	2835
MEDAL-115_TIS_Tumor	2:73518779-73518876	232	2058
MEDAL-115_TIS_Tumor	2:74741036-74741308	1195	11317
MEDAL-115_TIS_Tumor	2:74741894-74741929	72	1787
MEDAL-115_TIS_Tumor	2:74742709-74742959	957	17243
MEDAL-115_TIS_Tumor	2:80530722-80530851	236	4695
MEDAL-115_TIS_Tumor	2:87017416-87017475	558	1362
MEDAL-115_TIS_Tumor	2:89065155-89065407	637	8495
MEDAL-115_TIS_Tumor	2:95522701-95522963	465	11087
MEDAL-115_TIS_Tumor	2:98962795-98963068	486	5338
MEDAL-115_TIS_Tumor	2:99553316-99553572	782	4724
MEDAL-115_TIS_Tumor	2:105458985-105459464	2405	28461
MEDAL-115_TIS_Tumor	2:105460258-105460405	1015	6781
MEDAL-115_TIS_Tumor	2:105470545-105470724	1476	4176
MEDAL-115_TIS_Tumor	2:105478773-105478821	481	1101
MEDAL-115_TIS_Tumor	2:106681978-106682166	344	10068
MEDAL-115_TIS_Tumor	2:107502246-107502394	12	588
MEDAL-115_TIS_Tumor	2:118981607-118981955	559	10251
MEDAL-115_TIS_Tumor	2:119593524-119593634	72	1274
MEDAL-115_TIS_Tumor	2:119614444-119614644	1003	5215
MEDAL-115_TIS_Tumor	2:127534405-127534635	96	10951
MEDAL-115_TIS_Tumor	2:131792797-131792927	472	10469
MEDAL-115_TIS_Tumor	2:137523639-137523784	151	6336
MEDAL-115_TIS_Tumor	2:139538057-139538187	358	4685
MEDAL-115_TIS_Tumor	2:142887720-142888028	352	10254
MEDAL-115_TIS_Tumor	2:145281494-145281628	276	1326
MEDAL-115_TIS_Tumor	2:148601221-148601326	249	1618
MEDAL-115_TIS_Tumor	2:149634293-149634424	279	6012
MEDAL-115_TIS_Tumor	2:154728053-154728314	827	9167
